,index,League,Season,Home_Team,Away_Team,Home_Goals,Away_Goals,Home_FH,Away_FH,Home_Win,Draw,Away_Win,Over_2_5,Under_2_5,Code_1,Code_2,Total_Goals,FH_Goals,Winner,HT_Winner
1494,14385,Spa1,23,Espanyol,Atletico,3,3,0,2,3240.0,3610.0,2290.0,1860,2050,3005,3003,6,2,D,A
1495,14386,Spa1,23,Real Madrid,Vallecano,2,1,1,0,1410.0,5140.0,8140.0,1540,2610,3010,3034,3,1,H,H
1496,14387,Spa1,23,Villarreal,Cadiz,2,0,2,0,1490.0,4790.0,6750.0,1570,2510,3020,3023,2,2,H,H
1497,14388,Spa1,23,Elche,FC Sevilla,1,1,1,1,3570.0,3460.0,2180.0,1980,1910,3040,3013,2,2,D,D
1498,14389,Spa1,23,Osasuna,Bilbao,2,0,0,0,3330.0,3370.0,2350.0,2130,1790,3007,3008,2,0,H,D
1499,14390,Spa1,23,Mallorca,Valencia,1,0,0,0,3070.0,2970.0,2780.0,2750,1490,3009,3019,1,0,H,D
1500,14391,Spa1,23,FC Sevilla,Real Madrid,1,2,1,1,3220.0,3580.0,2310.0,1790,2120,3013,3010,3,2,A,D
1501,14392,Spa1,23,Atletico,Real Sociedad,2,1,1,0,2270.0,3280.0,3620.0,2200,1740,3003,3015,3,1,H,H
1502,14393,Spa1,23,Bilbao,Elche,0,1,0,0,1340.0,5650.0,9180.0,1550,2540,3008,3040,1,0,A,D
1503,14394,Spa1,23,Getafe,Osasuna,2,1,1,1,2490.0,2930.0,3580.0,3200,1390,3012,3007,3,2,H,D
1504,14395,Spa1,23,Barcelona,Mallorca,3,0,2,0,1240.0,6460.0,13400.0,1550,2510,3018,3009,3,2,H,H
1505,14396,Spa1,23,Valencia,Espanyol,2,2,1,1,1830.0,3970.0,4440.0,1810,2100,3019,3005,4,2,D,D
1506,14397,Spa1,23,Cadiz,Celta Vigo,1,0,0,0,2810.0,3100.0,2920.0,2480,1600,3023,3022,1,0,H,D
1507,14398,Spa1,23,Almeria,Valladolid,0,0,0,0,2240.0,3670.0,3290.0,1650,2370,3027,3028,0,0,D,D
1508,14399,Spa1,23,Vallecano,Villarreal,2,1,0,0,3000.0,3910.0,2310.0,1630,2410,3034,3020,3,0,H,D
1509,14400,Spa1,23,Girona,Betis,1,2,1,0,2030.0,3540.0,4040.0,2060,1850,3053,3002,3,1,A,H
1510,14401,Spa1,23,Betis,Valencia,1,1,1,0,3140.0,3110.0,2580.0,2250,1700,3002,3019,2,1,D,H
1511,14402,Spa1,23,Espanyol,Almeria,3,3,1,1,2440.0,3800.0,2840.0,1500,2700,3005,3027,6,2,D,D
1512,14403,Spa1,23,Osasuna,Girona,2,1,0,0,2090.0,3690.0,3600.0,1800,2090,3007,3053,3,0,H,D
1513,14404,Spa1,23,Mallorca,Vallecano,3,0,0,0,3170.0,3170.0,2520.0,2470,1590,3009,3034,3,0,H,D
1514,14405,Spa1,23,Real Madrid,Bilbao,1,1,0,0,1680.0,4380.0,4840.0,1560,2530,3010,3008,2,0,D,D
1515,14406,Spa1,23,Real Sociedad,FC Sevilla,2,1,1,0,1570.0,4350.0,6070.0,1850,2040,3015,3013,3,1,H,H
1516,14407,Spa1,23,Villarreal,Atletico,2,2,1,1,2740.0,3800.0,2480.0,1460,2940,3020,3003,4,2,D,D
1517,14408,Spa1,23,Celta Vigo,Barcelona,2,1,1,0,2870.0,3580.0,2510.0,1980,1910,3022,3018,3,1,H,H
1518,14409,Spa1,23,Valladolid,Getafe,0,0,0,0,2000.0,3330.0,4370.0,2360,1640,3028,3012,0,0,D,D
1519,14410,Spa1,23,Elche,Cadiz,1,1,0,1,2510.0,3200.0,3150.0,1900,1990,3040,3023,2,1,D,A
